start...
Finetuning mode
Load outputs/2023-02-12-11-33-40/trained_model/best_weight.pt...
Epoch: 54 / 3000, Score: 11800,  block: 228,  Reward: -2.8856 Cleared lines: 79, col: 30/15/5/1 
Epoch: 55 / 3000, Score: 8100,  block: 197,  Reward: -7.2731 Cleared lines: 64, col: 40/6/4/0 
Epoch: 56 / 3000, Score: 15300,  block: 301,  Reward: -1.0948 Cleared lines: 118, col: 57/27/1/1 
Epoch: 57 / 3000, Score: 13300,  block: 301,  Reward: -3.3057 Cleared lines: 108, col: 53/26/1/0 
Epoch: 58 / 3000, Score: 16600,  block: 301,  Reward: -0.4963 Cleared lines: 116, col: 50/22/6/1 
Epoch: 59 / 3000, Score: 15700,  block: 301,  Reward: -0.6958 Cleared lines: 115, col: 55/22/4/1 
Epoch: 60 / 3000, Score: 16500,  block: 301,  Reward: -1.7066 Cleared lines: 117, col: 51/21/8/0 
Epoch: 61 / 3000, Score: 15800,  block: 301,  Reward: -0.3745 Cleared lines: 118, col: 57/24/3/1 
Epoch: 62 / 3000, Score: 15900,  block: 301,  Reward: -0.6620 Cleared lines: 116, col: 54/23/4/1 
Epoch: 63 / 3000, Score: 15000,  block: 301,  Reward: 0.6136 Cleared lines: 115, col: 63/22/0/2 
Epoch: 64 / 3000, Score: 15200,  block: 301,  Reward: -1.1714 Cleared lines: 118, col: 60/23/4/0 
Epoch: 65 / 3000, Score: 17500,  block: 301,  Reward: 0.2722 Cleared lines: 115, col: 48/19/7/2 
Epoch: 66 / 3000, Score: 3800,  block: 119,  Reward: -6.4258 Cleared lines: 34, col: 21/5/1/0 
Epoch: 67 / 3000, Score: 17100,  block: 301,  Reward: 0.9722 Cleared lines: 118, col: 50/24/4/2 
Epoch: 68 / 3000, Score: 3600,  block: 114,  Reward: -5.7913 Cleared lines: 29, col: 15/4/2/0 
Epoch: 69 / 3000, Score: 16300,  block: 301,  Reward: -0.3861 Cleared lines: 119, col: 60/20/5/1 
Epoch: 70 / 3000, Score: 9500,  block: 183,  Reward: -6.1478 Cleared lines: 58, col: 16/15/0/3 
Epoch: 71 / 3000, Score: 15500,  block: 301,  Reward: -1.6225 Cleared lines: 111, col: 47/24/4/1 
Epoch: 72 / 3000, Score: 1700,  block: 76,  Reward: -5.5106 Cleared lines: 16, col: 9/2/1/0 
Epoch: 73 / 3000, Score: 15800,  block: 301,  Reward: 0.5376 Cleared lines: 111, col: 60/14/5/2 
Epoch: 74 / 3000, Score: 15400,  block: 301,  Reward: -1.1889 Cleared lines: 118, col: 56/25/4/0 
Epoch: 75 / 3000, Score: 8900,  block: 174,  Reward: -5.3350 Cleared lines: 54, col: 22/6/4/2 
Epoch: 76 / 3000, Score: 16300,  block: 301,  Reward: 1.0621 Cleared lines: 118, col: 61/20/3/2 
Epoch: 77 / 3000, Score: 13900,  block: 301,  Reward: -1.5691 Cleared lines: 118, col: 71/22/1/0 
Epoch: 78 / 3000, Score: 16600,  block: 301,  Reward: -5.4335 Cleared lines: 119, col: 54/23/5/1 
Epoch: 79 / 3000, Score: 17300,  block: 301,  Reward: 1.1367 Cleared lines: 117, col: 43/27/4/2 
Epoch: 80 / 3000, Score: 6500,  block: 160,  Reward: -7.6656 Cleared lines: 49, col: 17/13/2/0 
Epoch: 81 / 3000, Score: 14900,  block: 301,  Reward: -0.0985 Cleared lines: 116, col: 59/25/1/1 
Epoch: 82 / 3000, Score: 15900,  block: 301,  Reward: -0.8845 Cleared lines: 118, col: 60/21/4/1 
Epoch: 83 / 3000, Score: 14500,  block: 301,  Reward: -1.2955 Cleared lines: 116, col: 68/18/4/0 
