start...
Finetuning mode
Load outputs/2023-01-23-23-33-36/trained_model/best_weight.pt...
Epoch: 71 / 10000, Score: -500,  block: 15,  Reward: -3.0 Cleared lines: 0
Epoch: 72 / 10000, Score: -200,  block: 38,  Reward: -6.3 Cleared lines: 3
Epoch: 73 / 10000, Score: -500,  block: 32,  Reward: -6.3 Cleared lines: 0
Epoch: 74 / 10000, Score: -400,  block: 34,  Reward: -5.4 Cleared lines: 1
Epoch: 75 / 10000, Score: -200,  block: 40,  Reward: -6.4 Cleared lines: 3
Epoch: 76 / 10000, Score: -200,  block: 41,  Reward: -7.7 Cleared lines: 3
Epoch: 77 / 10000, Score: -400,  block: 35,  Reward: -6.3 Cleared lines: 1
Epoch: 78 / 10000, Score: 0,  block: 50,  Reward: -7.9 Cleared lines: 5
Epoch: 79 / 10000, Score: -500,  block: 29,  Reward: -5.2 Cleared lines: 0
Epoch: 80 / 10000, Score: -300,  block: 39,  Reward: -6.8 Cleared lines: 2
Epoch: 81 / 10000, Score: -300,  block: 44,  Reward: -7.4 Cleared lines: 2
Epoch: 82 / 10000, Score: -400,  block: 32,  Reward: -6.5 Cleared lines: 1
Epoch: 83 / 10000, Score: -500,  block: 27,  Reward: -4.9 Cleared lines: 0
Epoch: 84 / 10000, Score: -500,  block: 23,  Reward: -4.5 Cleared lines: 0
Epoch: 85 / 10000, Score: -400,  block: 38,  Reward: -6.9 Cleared lines: 1
Epoch: 86 / 10000, Score: -500,  block: 32,  Reward: -6.9 Cleared lines: 0
Epoch: 87 / 10000, Score: -400,  block: 27,  Reward: -5.5 Cleared lines: 1
Epoch: 88 / 10000, Score: -300,  block: 37,  Reward: -6.7 Cleared lines: 2
Epoch: 89 / 10000, Score: -500,  block: 33,  Reward: -6.9 Cleared lines: 0
Epoch: 90 / 10000, Score: -400,  block: 35,  Reward: -6.6 Cleared lines: 1
Epoch: 91 / 10000, Score: -300,  block: 38,  Reward: -5.7 Cleared lines: 2
Epoch: 92 / 10000, Score: -300,  block: 40,  Reward: -7.6 Cleared lines: 2
Epoch: 93 / 10000, Score: -100,  block: 40,  Reward: -6.1 Cleared lines: 4
Epoch: 94 / 10000, Score: -400,  block: 34,  Reward: -5.6 Cleared lines: 1
Epoch: 95 / 10000, Score: -300,  block: 38,  Reward: -7.4 Cleared lines: 2
Epoch: 96 / 10000, Score: -500,  block: 25,  Reward: -5.0 Cleared lines: 0
Epoch: 97 / 10000, Score: -500,  block: 29,  Reward: -5.4 Cleared lines: 0
Epoch: 98 / 10000, Score: -300,  block: 39,  Reward: -6.9 Cleared lines: 2
Epoch: 99 / 10000, Score: -500,  block: 23,  Reward: -4.5 Cleared lines: 0
Epoch: 100 / 10000, Score: -300,  block: 38,  Reward: -7.7 Cleared lines: 2
Epoch: 101 / 10000, Score: -300,  block: 36,  Reward: -6.0 Cleared lines: 2
Epoch: 102 / 10000, Score: -500,  block: 32,  Reward: -5.9 Cleared lines: 0
Epoch: 103 / 10000, Score: -200,  block: 39,  Reward: -6.2 Cleared lines: 3
Epoch: 104 / 10000, Score: -500,  block: 31,  Reward: -5.4 Cleared lines: 0
Epoch: 105 / 10000, Score: -200,  block: 47,  Reward: -7.2 Cleared lines: 3
Epoch: 106 / 10000, Score: -400,  block: 30,  Reward: -5.7 Cleared lines: 1
Epoch: 107 / 10000, Score: -100,  block: 43,  Reward: -7.0 Cleared lines: 4
Epoch: 108 / 10000, Score: -300,  block: 39,  Reward: -7.2 Cleared lines: 2
Epoch: 109 / 10000, Score: -300,  block: 42,  Reward: -7.5 Cleared lines: 2
Epoch: 110 / 10000, Score: -500,  block: 36,  Reward: -7.5 Cleared lines: 0
Epoch: 111 / 10000, Score: -200,  block: 42,  Reward: -6.6 Cleared lines: 3
