start...
Finetuning mode
Load outputs/2023-02-10-21-39-05/trained_model/best_weight.pt...
Epoch: 1 / 3000, Score: 14500,  block: 301,  Reward: -29.8 Cleared lines: 109
Epoch: 2 / 3000, Score: 16300,  block: 301,  Reward: -20.1 Cleared lines: 115
Epoch: 3 / 3000, Score: 10200,  block: 222,  Reward: -19.1 Cleared lines: 75
Epoch: 4 / 3000, Score: 14600,  block: 301,  Reward: -17.2 Cleared lines: 115
Epoch: 5 / 3000, Score: 15800,  block: 301,  Reward: -19.0 Cleared lines: 116
Epoch: 6 / 3000, Score: 10500,  block: 250,  Reward: -31.2 Cleared lines: 82
Epoch: 7 / 3000, Score: 16000,  block: 301,  Reward: -17.5 Cleared lines: 112
Epoch: 8 / 3000, Score: 15800,  block: 301,  Reward: -18.6 Cleared lines: 117
Epoch: 9 / 3000, Score: 16000,  block: 301,  Reward: -18.0 Cleared lines: 118
Epoch: 10 / 3000, Score: 15500,  block: 301,  Reward: -16.3 Cleared lines: 116
Epoch: 11 / 3000, Score: 15300,  block: 301,  Reward: -28.6 Cleared lines: 114
Epoch: 12 / 3000, Score: 17200,  block: 301,  Reward: -27.1 Cleared lines: 117
Epoch: 13 / 3000, Score: 14700,  block: 301,  Reward: -28.6 Cleared lines: 113
Epoch: 14 / 3000, Score: 14600,  block: 301,  Reward: -16.2 Cleared lines: 116
Epoch: 15 / 3000, Score: 14000,  block: 301,  Reward: -22.0 Cleared lines: 111
Epoch: 16 / 3000, Score: 4400,  block: 120,  Reward: -10.5 Cleared lines: 37
Epoch: 17 / 3000, Score: 4400,  block: 139,  Reward: -19.9 Cleared lines: 39
Epoch: 18 / 3000, Score: 15400,  block: 301,  Reward: -19.6 Cleared lines: 111
Epoch: 19 / 3000, Score: 17500,  block: 301,  Reward: -15.7 Cleared lines: 114
Epoch: 20 / 3000, Score: 15900,  block: 301,  Reward: -22.9 Cleared lines: 114
Epoch: 21 / 3000, Score: 16500,  block: 301,  Reward: -18.9 Cleared lines: 114
Epoch: 22 / 3000, Score: 13500,  block: 301,  Reward: -27.0 Cleared lines: 113
