start...
Finetuning mode
Load outputs/2023-02-12-11-33-40/trained_model/best_weight.pt...
Epoch: 69 / 3000, Score: 16100,  block: 301,  Reward: -35.6 Cleared lines: 112
Epoch: 70 / 3000, Score: 17400,  block: 301,  Reward: -15.9 Cleared lines: 116
Epoch: 71 / 3000, Score: 16300,  block: 301,  Reward: -15.5 Cleared lines: 117
Epoch: 72 / 3000, Score: 14800,  block: 301,  Reward: -17.1 Cleared lines: 117
Epoch: 73 / 3000, Score: 15800,  block: 301,  Reward: -25.9 Cleared lines: 118
Epoch: 74 / 3000, Score: 17500,  block: 301,  Reward: -18.8 Cleared lines: 118
Epoch: 75 / 3000, Score: 16900,  block: 301,  Reward: -20.0 Cleared lines: 117
Epoch: 76 / 3000, Score: 11500,  block: 239,  Reward: -28.9 Cleared lines: 84
Epoch: 77 / 3000, Score: 14300,  block: 301,  Reward: -21.0 Cleared lines: 110
Epoch: 78 / 3000, Score: 13700,  block: 301,  Reward: -15.7 Cleared lines: 117
Epoch: 79 / 3000, Score: 14900,  block: 301,  Reward: -21.7 Cleared lines: 113
Epoch: 80 / 3000, Score: 14500,  block: 301,  Reward: -20.4 Cleared lines: 112
Epoch: 81 / 3000, Score: 4900,  block: 151,  Reward: -21.5 Cleared lines: 44
Epoch: 82 / 3000, Score: 15300,  block: 301,  Reward: -21.0 Cleared lines: 117
Epoch: 83 / 3000, Score: 16200,  block: 301,  Reward: -18.6 Cleared lines: 116
Epoch: 84 / 3000, Score: 13900,  block: 301,  Reward: -18.4 Cleared lines: 115
Epoch: 85 / 3000, Score: 4200,  block: 128,  Reward: -15.8 Cleared lines: 36
Epoch: 86 / 3000, Score: 15400,  block: 301,  Reward: -21.3 Cleared lines: 114
Epoch: 87 / 3000, Score: 17100,  block: 301,  Reward: -12.1 Cleared lines: 119
Epoch: 88 / 3000, Score: 14900,  block: 301,  Reward: -18.3 Cleared lines: 118
Epoch: 89 / 3000, Score: 4300,  block: 123,  Reward: -18.0 Cleared lines: 34
Epoch: 90 / 3000, Score: 15900,  block: 301,  Reward: -23.9 Cleared lines: 106
Epoch: 91 / 3000, Score: 16700,  block: 301,  Reward: -18.7 Cleared lines: 118
Epoch: 92 / 3000, Score: 16400,  block: 301,  Reward: -15.8 Cleared lines: 118
Epoch: 93 / 3000, Score: -400,  block: 40,  Reward: -6.5 Cleared lines: 1
Epoch: 94 / 3000, Score: 14900,  block: 301,  Reward: -29.9 Cleared lines: 116
Epoch: 95 / 3000, Score: 15100,  block: 301,  Reward: -14.8 Cleared lines: 115
Epoch: 96 / 3000, Score: 8400,  block: 206,  Reward: -21.5 Cleared lines: 67
Epoch: 97 / 3000, Score: 14700,  block: 301,  Reward: -19.2 Cleared lines: 113
Epoch: 98 / 3000, Score: 17100,  block: 301,  Reward: -41.8 Cleared lines: 111
Epoch: 99 / 3000, Score: 16200,  block: 301,  Reward: -18.1 Cleared lines: 118
Epoch: 100 / 3000, Score: 16100,  block: 301,  Reward: -15.5 Cleared lines: 119
Epoch: 101 / 3000, Score: 15000,  block: 301,  Reward: -19.5 Cleared lines: 119
Epoch: 102 / 3000, Score: 15000,  block: 301,  Reward: -26.4 Cleared lines: 117
Epoch: 103 / 3000, Score: 14900,  block: 301,  Reward: -27.5 Cleared lines: 117
Epoch: 104 / 3000, Score: 15100,  block: 301,  Reward: -16.3 Cleared lines: 118
