start...
Finetuning mode
Load outputs/2023-02-12-11-33-40/trained_model/best_weight.pt...
Epoch: 54 / 3000, Score: 16300,  block: 301,  Reward: 2.8679 Cleared lines: 118, col: 66/16/4/2 
Epoch: 55 / 3000, Score: 15800,  block: 301,  Reward: 1.5542 Cleared lines: 114, col: 45/28/3/1 
Epoch: 56 / 3000, Score: 15700,  block: 301,  Reward: 1.5651 Cleared lines: 119, col: 62/22/3/1 
Epoch: 57 / 3000, Score: 15300,  block: 301,  Reward: 1.4011 Cleared lines: 119, col: 71/15/6/0 
Epoch: 58 / 3000, Score: 14300,  block: 301,  Reward: -0.7883 Cleared lines: 110, col: 64/14/6/0 
Epoch: 59 / 3000, Score: 16300,  block: 301,  Reward: 1.3191 Cleared lines: 115, col: 48/24/5/1 
Epoch: 60 / 3000, Score: 15400,  block: 301,  Reward: 0.8352 Cleared lines: 116, col: 60/19/6/0 
Epoch: 61 / 3000, Score: 16100,  block: 301,  Reward: 2.0458 Cleared lines: 119, col: 64/18/5/1 
Epoch: 62 / 3000, Score: 8900,  block: 203,  Reward: -2.5104 Cleared lines: 68, col: 40/9/2/1 
Epoch: 63 / 3000, Score: 16500,  block: 301,  Reward: 2.6012 Cleared lines: 118, col: 53/23/5/1 
Epoch: 64 / 3000, Score: 14500,  block: 301,  Reward: -2.2277 Cleared lines: 109, col: 47/25/4/0 
Epoch: 65 / 3000, Score: 14500,  block: 301,  Reward: 1.0884 Cleared lines: 111, col: 58/19/5/0 
Epoch: 66 / 3000, Score: 14600,  block: 301,  Reward: 0.1098 Cleared lines: 120, col: 68/23/2/0 
Epoch: 67 / 3000, Score: 15200,  block: 301,  Reward: 0.9994 Cleared lines: 116, col: 64/17/6/0 
Epoch: 68 / 3000, Score: 15300,  block: 301,  Reward: 1.0582 Cleared lines: 118, col: 53/28/3/0 
Epoch: 69 / 3000, Score: 16000,  block: 301,  Reward: 0.3080 Cleared lines: 119, col: 65/20/2/2 
Epoch: 70 / 3000, Score: 14700,  block: 301,  Reward: 0.4733 Cleared lines: 116, col: 59/24/3/0 
Epoch: 71 / 3000, Score: 16700,  block: 301,  Reward: 2.5121 Cleared lines: 118, col: 45/26/7/0 
Epoch: 72 / 3000, Score: 11200,  block: 226,  Reward: -14.1075 Cleared lines: 76, col: 32/15/2/2 
Epoch: 73 / 3000, Score: 9200,  block: 232,  Reward: -11.1717 Cleared lines: 75, col: 46/10/3/0 
Epoch: 74 / 3000, Score: 15100,  block: 301,  Reward: 1.3883 Cleared lines: 117, col: 68/18/3/1 
Epoch: 75 / 3000, Score: 15400,  block: 301,  Reward: 1.1563 Cleared lines: 115, col: 60/22/1/2 
Epoch: 76 / 3000, Score: 13800,  block: 301,  Reward: -1.3686 Cleared lines: 112, col: 65/19/3/0 
Epoch: 77 / 3000, Score: 14400,  block: 301,  Reward: -1.4501 Cleared lines: 110, col: 57/19/5/0 
Epoch: 78 / 3000, Score: 15500,  block: 301,  Reward: 0.6808 Cleared lines: 118, col: 59/22/5/0 
Epoch: 79 / 3000, Score: 15800,  block: 301,  Reward: 1.6156 Cleared lines: 119, col: 65/19/4/1 
Epoch: 80 / 3000, Score: 16400,  block: 301,  Reward: 2.2303 Cleared lines: 119, col: 54/22/7/0 
Epoch: 81 / 3000, Score: 16400,  block: 301,  Reward: 2.2533 Cleared lines: 119, col: 67/16/4/2 
Epoch: 82 / 3000, Score: 14900,  block: 301,  Reward: 1.0682 Cleared lines: 115, col: 62/19/5/0 
Epoch: 83 / 3000, Score: 14300,  block: 301,  Reward: 0.6947 Cleared lines: 116, col: 76/15/2/1 
Epoch: 84 / 3000, Score: 16300,  block: 301,  Reward: 1.6475 Cleared lines: 119, col: 60/20/5/1 
Epoch: 85 / 3000, Score: 15600,  block: 301,  Reward: 1.2372 Cleared lines: 116, col: 56/21/6/0 
Epoch: 86 / 3000, Score: 16300,  block: 301,  Reward: 2.2901 Cleared lines: 113, col: 51/21/4/2 
Epoch: 87 / 3000, Score: 15600,  block: 301,  Reward: 1.2868 Cleared lines: 118, col: 47/31/3/0 
Epoch: 88 / 3000, Score: 16200,  block: 301,  Reward: 1.5719 Cleared lines: 119, col: 58/20/7/0 
Epoch: 89 / 3000, Score: 16900,  block: 301,  Reward: 3.3849 Cleared lines: 117, col: 55/22/2/3 
Epoch: 90 / 3000, Score: 16000,  block: 301,  Reward: 2.0326 Cleared lines: 119, col: 66/17/5/1 
Epoch: 91 / 3000, Score: 16200,  block: 301,  Reward: 2.2908 Cleared lines: 118, col: 59/20/5/1 
Epoch: 92 / 3000, Score: 14600,  block: 301,  Reward: -0.7486 Cleared lines: 113, col: 57/22/4/0 
Epoch: 93 / 3000, Score: 16400,  block: 301,  Reward: 0.3265 Cleared lines: 109, col: 48/15/9/1 
Epoch: 94 / 3000, Score: 17900,  block: 301,  Reward: 4.0104 Cleared lines: 120, col: 54/21/4/3 
Epoch: 95 / 3000, Score: 14900,  block: 301,  Reward: 0.3191 Cleared lines: 119, col: 59/27/2/0 
Epoch: 96 / 3000, Score: 6200,  block: 160,  Reward: -5.2644 Cleared lines: 51, col: 24/12/1/0 
Epoch: 97 / 3000, Score: 14100,  block: 301,  Reward: 0.0838 Cleared lines: 117, col: 69/21/2/0 
Epoch: 98 / 3000, Score: 15800,  block: 301,  Reward: -0.0909 Cleared lines: 117, col: 63/20/2/2 
Epoch: 99 / 3000, Score: 15100,  block: 301,  Reward: 0.7667 Cleared lines: 117, col: 54/27/3/0 
Epoch: 100 / 3000, Score: 16100,  block: 301,  Reward: 1.9865 Cleared lines: 119, col: 50/27/5/0 
Epoch: 101 / 3000, Score: 15300,  block: 301,  Reward: 1.2170 Cleared lines: 117, col: 65/17/6/0 
Epoch: 102 / 3000, Score: 15600,  block: 301,  Reward: 1.5777 Cleared lines: 117, col: 63/19/4/1 
Epoch: 103 / 3000, Score: 15000,  block: 301,  Reward: 0.6479 Cleared lines: 119, col: 67/20/4/0 
Epoch: 104 / 3000, Score: 10800,  block: 253,  Reward: -4.3497 Cleared lines: 85, col: 44/16/3/0 
Epoch: 105 / 3000, Score: 16400,  block: 301,  Reward: 2.9278 Cleared lines: 119, col: 57/24/2/2 
Epoch: 106 / 3000, Score: 16200,  block: 301,  Reward: 2.4843 Cleared lines: 114, col: 47/24/5/1 
Epoch: 107 / 3000, Score: 15100,  block: 301,  Reward: 0.8284 Cleared lines: 112, col: 49/24/5/0 
Epoch: 108 / 3000, Score: 13900,  block: 301,  Reward: -0.9718 Cleared lines: 115, col: 67/21/2/0 
Epoch: 109 / 3000, Score: 11100,  block: 227,  Reward: -12.6353 Cleared lines: 76, col: 34/14/2/2 
Epoch: 110 / 3000, Score: 16200,  block: 301,  Reward: 2.0833 Cleared lines: 119, col: 67/15/6/1 
Epoch: 111 / 3000, Score: 16700,  block: 301,  Reward: 2.8329 Cleared lines: 113, col: 47/24/2/3 
Epoch: 112 / 3000, Score: 13900,  block: 301,  Reward: -0.4414 Cleared lines: 117, col: 68/23/1/0 
Epoch: 113 / 3000, Score: 15600,  block: 301,  Reward: 1.6785 Cleared lines: 116, col: 65/16/5/1 
Epoch: 114 / 3000, Score: 14800,  block: 301,  Reward: 0.7426 Cleared lines: 109, col: 55/19/4/1 
Epoch: 115 / 3000, Score: 15000,  block: 301,  Reward: 0.7606 Cleared lines: 116, col: 62/22/2/1 
Epoch: 116 / 3000, Score: 12700,  block: 301,  Reward: -6.3911 Cleared lines: 109, col: 63/23/0/0 
Epoch: 117 / 3000, Score: 7000,  block: 164,  Reward: -7.2544 Cleared lines: 50, col: 24/8/2/1 
Epoch: 118 / 3000, Score: 16300,  block: 301,  Reward: 3.2012 Cleared lines: 117, col: 62/20/1/3 
Epoch: 119 / 3000, Score: 15000,  block: 301,  Reward: 1.1039 Cleared lines: 113, col: 58/21/3/1 
Epoch: 120 / 3000, Score: 15400,  block: 301,  Reward: 1.8511 Cleared lines: 112, col: 57/18/5/1 
Epoch: 121 / 3000, Score: 16300,  block: 301,  Reward: 2.1537 Cleared lines: 113, col: 52/18/7/1 
Epoch: 122 / 3000, Score: 15300,  block: 301,  Reward: 1.2502 Cleared lines: 115, col: 59/19/6/0 
Epoch: 123 / 3000, Score: 2000,  block: 82,  Reward: -3.0948 Cleared lines: 18, col: 9/3/1/0 
Epoch: 124 / 3000, Score: 17100,  block: 301,  Reward: -2.9605 Cleared lines: 117, col: 47/25/4/2 
Epoch: 125 / 3000, Score: 15000,  block: 301,  Reward: 0.5661 Cleared lines: 118, col: 68/20/2/1 
Epoch: 126 / 3000, Score: 13100,  block: 285,  Reward: -6.3123 Cleared lines: 98, col: 42/22/4/0 
Epoch: 127 / 3000, Score: 15500,  block: 301,  Reward: 0.9408 Cleared lines: 112, col: 55/19/5/1 
Epoch: 128 / 3000, Score: 14600,  block: 301,  Reward: -0.0433 Cleared lines: 118, col: 67/21/3/0 
Epoch: 129 / 3000, Score: 8200,  block: 195,  Reward: -5.6982 Cleared lines: 63, col: 34/11/1/1 
Epoch: 130 / 3000, Score: 14300,  block: 301,  Reward: -1.1234 Cleared lines: 113, col: 72/14/3/1 
Epoch: 131 / 3000, Score: 15700,  block: 301,  Reward: 0.9361 Cleared lines: 116, col: 49/26/5/0 
Epoch: 132 / 3000, Score: 15500,  block: 301,  Reward: -6.6948 Cleared lines: 109, col: 47/19/8/0 
Epoch: 133 / 3000, Score: 16400,  block: 301,  Reward: 0.3635 Cleared lines: 119, col: 53/25/4/1 
Epoch: 134 / 3000, Score: 14700,  block: 301,  Reward: 0.5720 Cleared lines: 118, col: 70/18/4/0 
Epoch: 135 / 3000, Score: 16200,  block: 301,  Reward: 1.1845 Cleared lines: 113, col: 45/22/8/0 
Epoch: 136 / 3000, Score: 15400,  block: 301,  Reward: 0.8329 Cleared lines: 118, col: 61/21/5/0 
Epoch: 137 / 3000, Score: 14200,  block: 301,  Reward: -0.4881 Cleared lines: 117, col: 77/14/4/0 
Epoch: 138 / 3000, Score: 14500,  block: 301,  Reward: 0.0765 Cleared lines: 115, col: 55/27/2/0 
Epoch: 139 / 3000, Score: 17300,  block: 301,  Reward: 1.8326 Cleared lines: 108, col: 45/15/7/3 
Epoch: 140 / 3000, Score: 14600,  block: 301,  Reward: 0.2723 Cleared lines: 119, col: 65/24/2/0 
Epoch: 141 / 3000, Score: 10900,  block: 235,  Reward: -4.4399 Cleared lines: 79, col: 34/15/5/0 
Epoch: 142 / 3000, Score: 15500,  block: 301,  Reward: 1.8333 Cleared lines: 117, col: 65/18/4/1 
Epoch: 143 / 3000, Score: 8900,  block: 194,  Reward: -3.0622 Cleared lines: 65, col: 26/16/1/1 
Epoch: 144 / 3000, Score: 17100,  block: 301,  Reward: 3.2116 Cleared lines: 119, col: 54/20/7/1 
Epoch: 145 / 3000, Score: 15200,  block: 301,  Reward: -1.1361 Cleared lines: 118, col: 60/23/4/0 
Epoch: 146 / 3000, Score: 15700,  block: 301,  Reward: 1.3723 Cleared lines: 113, col: 55/17/8/0 
Epoch: 147 / 3000, Score: 15900,  block: 301,  Reward: 1.5299 Cleared lines: 118, col: 55/25/3/1 
Epoch: 148 / 3000, Score: 9400,  block: 198,  Reward: -0.6000 Cleared lines: 68, col: 36/7/6/0 
Epoch: 149 / 3000, Score: 14600,  block: 301,  Reward: -0.7659 Cleared lines: 110, col: 48/25/4/0 
Epoch: 150 / 3000, Score: 14800,  block: 301,  Reward: 0.3164 Cleared lines: 119, col: 66/22/3/0 
Epoch: 151 / 3000, Score: 16500,  block: 301,  Reward: 1.5797 Cleared lines: 118, col: 53/23/5/1 
Epoch: 152 / 3000, Score: 16800,  block: 301,  Reward: 2.4886 Cleared lines: 119, col: 50/25/5/1 
Epoch: 153 / 3000, Score: 17300,  block: 301,  Reward: 3.0842 Cleared lines: 119, col: 54/21/5/2 
Epoch: 154 / 3000, Score: 15500,  block: 301,  Reward: -8.5388 Cleared lines: 118, col: 63/21/3/1 
Epoch: 155 / 3000, Score: 15900,  block: 301,  Reward: -1.3347 Cleared lines: 118, col: 60/21/4/1 
Epoch: 156 / 3000, Score: 15400,  block: 301,  Reward: 0.9365 Cleared lines: 115, col: 52/24/5/0 
Epoch: 157 / 3000, Score: 15800,  block: 301,  Reward: 1.2783 Cleared lines: 119, col: 59/26/0/2 
Epoch: 158 / 3000, Score: 15100,  block: 301,  Reward: 1.1876 Cleared lines: 112, col: 53/23/3/1 
Epoch: 159 / 3000, Score: 16000,  block: 301,  Reward: 1.2714 Cleared lines: 117, col: 60/19/5/1 
Epoch: 160 / 3000, Score: 15500,  block: 301,  Reward: 1.2113 Cleared lines: 115, col: 59/20/4/1 
Epoch: 161 / 3000, Score: 17300,  block: 301,  Reward: 3.0264 Cleared lines: 119, col: 50/22/7/1 
Epoch: 162 / 3000, Score: 15900,  block: 301,  Reward: 1.6634 Cleared lines: 119, col: 53/28/2/1 
Epoch: 163 / 3000, Score: 16000,  block: 301,  Reward: 1.0096 Cleared lines: 111, col: 46/24/3/2 
Epoch: 164 / 3000, Score: 15000,  block: 301,  Reward: 1.2366 Cleared lines: 118, col: 73/16/3/1 
Epoch: 165 / 3000, Score: 16100,  block: 301,  Reward: 1.5038 Cleared lines: 119, col: 55/23/6/0 
Epoch: 166 / 3000, Score: 17000,  block: 301,  Reward: 3.0072 Cleared lines: 117, col: 46/22/9/0 
