start...
Finetuning mode
Load outputs/2023-02-10-21-39-05/trained_model/best_weight.pt...
Epoch: 1 / 3000, Score: 16500,  block: 301,  Reward: -153.1 Cleared lines: 117
Epoch: 2 / 3000, Score: 15800,  block: 301,  Reward: -238.0 Cleared lines: 114
Epoch: 3 / 3000, Score: 14100,  block: 301,  Reward: -195.0 Cleared lines: 112
Epoch: 4 / 3000, Score: 13900,  block: 301,  Reward: -149.5 Cleared lines: 119
Epoch: 5 / 3000, Score: 16500,  block: 301,  Reward: -177.9 Cleared lines: 115
Epoch: 6 / 3000, Score: 12800,  block: 301,  Reward: -140.9 Cleared lines: 117
Epoch: 7 / 3000, Score: 14200,  block: 301,  Reward: -186.5 Cleared lines: 114
Epoch: 8 / 3000, Score: 13700,  block: 301,  Reward: -218.4 Cleared lines: 114
Epoch: 9 / 3000, Score: 13200,  block: 301,  Reward: -281.0 Cleared lines: 110
Epoch: 10 / 3000, Score: 12600,  block: 301,  Reward: -341.4 Cleared lines: 105
Epoch: 11 / 3000, Score: 13500,  block: 301,  Reward: -245.1 Cleared lines: 114
Epoch: 12 / 3000, Score: 13300,  block: 301,  Reward: -212.3 Cleared lines: 112
Epoch: 13 / 3000, Score: 14500,  block: 301,  Reward: -283.5 Cleared lines: 114
Epoch: 14 / 3000, Score: 16100,  block: 301,  Reward: -269.1 Cleared lines: 111
Epoch: 15 / 3000, Score: 13900,  block: 301,  Reward: -194.5 Cleared lines: 115
Epoch: 16 / 3000, Score: 13300,  block: 301,  Reward: -210.4 Cleared lines: 113
Epoch: 17 / 3000, Score: 15200,  block: 301,  Reward: -171.8 Cleared lines: 115
Epoch: 18 / 3000, Score: 15400,  block: 301,  Reward: -160.2 Cleared lines: 118
Epoch: 19 / 3000, Score: 15200,  block: 301,  Reward: -192.6 Cleared lines: 117
Epoch: 20 / 3000, Score: 15800,  block: 301,  Reward: -198.4 Cleared lines: 117
Epoch: 21 / 3000, Score: 15400,  block: 301,  Reward: -251.7 Cleared lines: 114
Epoch: 22 / 3000, Score: 15100,  block: 301,  Reward: -222.3 Cleared lines: 119
Epoch: 23 / 3000, Score: 15500,  block: 301,  Reward: -172.9 Cleared lines: 114
Epoch: 24 / 3000, Score: 14300,  block: 301,  Reward: -183.1 Cleared lines: 117
Epoch: 25 / 3000, Score: 14600,  block: 301,  Reward: -231.7 Cleared lines: 114
Epoch: 26 / 3000, Score: 15500,  block: 301,  Reward: -182.3 Cleared lines: 117
Epoch: 27 / 3000, Score: 12300,  block: 298,  Reward: -245.1 Cleared lines: 102
Epoch: 28 / 3000, Score: 16500,  block: 301,  Reward: -164.4 Cleared lines: 118
Epoch: 29 / 3000, Score: 13600,  block: 301,  Reward: -192.6 Cleared lines: 113
Epoch: 30 / 3000, Score: 13900,  block: 301,  Reward: -182.4 Cleared lines: 115
Epoch: 31 / 3000, Score: 14200,  block: 301,  Reward: -293.4 Cleared lines: 110
Epoch: 32 / 3000, Score: 13500,  block: 301,  Reward: -218.5 Cleared lines: 113
Epoch: 33 / 3000, Score: 14900,  block: 301,  Reward: -299.4 Cleared lines: 112
Epoch: 34 / 3000, Score: 6100,  block: 189,  Reward: -171.7 Cleared lines: 58
Epoch: 35 / 3000, Score: 14800,  block: 301,  Reward: -153.4 Cleared lines: 113
Epoch: 36 / 3000, Score: 13600,  block: 301,  Reward: -245.5 Cleared lines: 115
Epoch: 37 / 3000, Score: 10100,  block: 255,  Reward: -256.9 Cleared lines: 84
Epoch: 38 / 3000, Score: 13100,  block: 301,  Reward: -307.0 Cleared lines: 105
Epoch: 39 / 3000, Score: 15000,  block: 301,  Reward: -166.6 Cleared lines: 111
Epoch: 40 / 3000, Score: 16500,  block: 301,  Reward: -193.8 Cleared lines: 116
Epoch: 41 / 3000, Score: 15300,  block: 301,  Reward: -189.3 Cleared lines: 118
Epoch: 42 / 3000, Score: 13500,  block: 301,  Reward: -218.8 Cleared lines: 116
Epoch: 43 / 3000, Score: 17100,  block: 301,  Reward: -212.2 Cleared lines: 116
